54969     C 23TRI006LL  IGCo 58 22-03-24 26-04-24S05-05-24                     1.045e-02 01
54969     C 23TRI006LL  IGMn 54 22-03-24 26-04-24S05-05-24                     9.818e-03 01
54969     C 23TRI006LL  IGFe 59 22-03-24 26-04-24S05-05-24                     2.242e-02 01
54969     C 23TRI006LL  IGZn 65 22-03-24 26-04-24S05-05-24                     1.620e-02 01
54969     C 23TRI006LL  IGCo 60 22-03-24 26-04-24S05-05-24                     6.936e-03 01
54969     C 23TRI006LL  IG K 40 22-03-24 26-04-24S05-05-24                     2.098e-01 01
54969     C 23TRI006LL  IGSb124 22-03-24 26-04-24S05-05-24                     1.274e-02 01
54970     C 23TRI006LL2  IGCe144 22-03-24 26-04-24S05-05-24                     1.192e-03 01
54970     C 23TRI006LL2  IGPb212 22-03-24 26-04-24S05-05-24                     5.900e-04 01
54970     C 23TRI006LL2  IGPb214 22-03-24 26-04-24S05-05-24                     6.595e-04 01
54970     C 23TRI006LL2  IG I131 22-03-24 26-04-24S05-05-24                     1.655e-03 01
54970     C 23TRI006LL2  IGBe  7 22-03-24 26-04-24S05-05-24 1.727e-02 7.075e-03 2.007e-03 01
54970     C 23TRI006LL2  IGBa140 22-03-24 26-04-24S05-05-24                     4.190e-03 01
54970     C 23TRI006LL2  IGTl208 22-03-24 26-04-24S05-05-24                     2.760e-04 01
54970     C 23TRI006LL2  IGCs134 22-03-24 26-04-24S05-05-24                     1.448e-04 01
54970     C 23TRI006LL2  IGBi214 22-03-24 26-04-24S05-05-24                     5.921e-04 01
54970     C 23TRI006LL2  IGCs137 22-03-24 26-04-24S05-05-24                     2.159e-04 01
54970     C 23TRI006LL2  IGZr 95 22-03-24 26-04-24S05-05-24                     4.859e-04 01
54970     C 23TRI006LL2  IGNb 95 22-03-24 26-04-24S05-05-24                     2.732e-04 01
54970     C 23TRI006LL2  IGCo 58 22-03-24 26-04-24S05-05-24                     2.373e-04 01
54970     C 23TRI006LL2  IGMn 54 22-03-24 26-04-24S05-05-24                     2.229e-04 01
54970     C 23TRI006LL2  IGFe 59 22-03-24 26-04-24S05-05-24                     5.089e-04 01
54970     C 23TRI006LL2  IGZn 65 22-03-24 26-04-24S05-05-24                     3.676e-04 01
54970     C 23TRI006LL2  IGCo 60 22-03-24 26-04-24S05-05-24                     1.575e-04 01
54970     C 23TRI006LL2  IG K 40 22-03-24 26-04-24S05-05-24                     4.762e-03 01
54970     C 23TRI006LL2  IGSb124 22-03-24 26-04-24S05-05-24                     2.892e-04 01
54902     C 23TRI028PO  IGCe144 10-04-24 24-04-24S08-05-24                     7.601e-02 01
54902     C 23TRI028PO  IGPb212 10-04-24 24-04-24S08-05-24                     2.395e-02 01
54902     C 23TRI028PO  IGPb214 10-04-24 24-04-24S08-05-24                     2.727e-02 01
54902     C 23TRI028PO  IG I131 10-04-24 24-04-24S08-05-24                     4.191e-02 01
54902     C 23TRI028PO  IGBe  7 10-04-24 24-04-24S08-05-24                     1.046e-01 01
54902     C 23TRI028PO  IGBa140 10-04-24 24-04-24S08-05-24                     1.097e-01 01
54902     C 23TRI028PO  IGTl208 10-04-24 24-04-24S08-05-24                     1.219e-02 01
54902     C 23TRI028PO  IGCs134 10-04-24 24-04-24S08-05-24                     6.886e-03 01
54902     C 23TRI028PO  IGBi214 10-04-24 24-04-24S08-05-24                     2.535e-02 01
54902     C 23TRI028PO  IGCs137 10-04-24 24-04-24S08-05-24                     7.362e-03 01
54902     C 23TRI028PO  IGZr 95 10-04-24 24-04-24S08-05-24                     1.913e-02 01
54902     C 23TRI028PO  IGNb 95 10-04-24 24-04-24S08-05-24                     1.230e-02 01
54902     C 23TRI028PO  IGCo 58 10-04-24 24-04-24S08-05-24                     1.051e-02 01
